Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,
NBC,America's Got Talent,Alternative,0.00,,0.00,,0.00,,
NBC,The Wall,Alternative,0.00,,0.00,,0.00,,
NBC,American Ninja Warrior,Alternative,0.00,,0.00,,0.00,,
,,,,,,,1.00,,
,,NBC,0%,,0%,,1/7= 14.3%,,
Netflix,Malibu Rescue,Comedy,1.00,Ricardo Hurtado,0.00,,0.00,,
Netflix,**Mr. Iglesias,Comedy,1.00,Gabriel Iglesias,0.00,,1.00,Gloria Calderon Kellett,
Netflix,It's Bruno!,Comedy,1.00,Shakira Barrera,0.00,,0.00,,
Netflix,Tiffany Hadish Presents: They Ready,Comedy,0.00,,0.00,,0.00,,
Netflix,**When They See Us,Drama,0.00,,0.00,,0.00,,
Netflix,Tales of the City,Drama,0.00,,0.00,,1.00,"Kyle Patrick Alvarez ,Patricia Cardoso",
Netflix,**The Society,Drama,0.00,,0.00,,0.00,,
Netflix,Cannon Busters,Drama,0.00,,0.00,,0.00,,
Netflix,Another Life,Drama,0.00,,0.00,,0.00,,
Netflix,**What/If,Drama,1.00,Juan Castano ,0.00,,1.00,David Rodriguez ,
Netflix,The Family,Docu-series,0.00,,0.00,,0.00,,
Netflix,Diagnosis,Docu-series,0.00,,0.00,,0.00,,
Netflix,Hyperdrive,Docu-series,0.00,,0.00,,0.00,,
Netflix,Awake: The Million Dollar Game,Alternative,0.00,,0.00,,0.00,,
Netflix,Styling Hollywood,Alternative,0.00,,0.00,,0.00,,
Netflix,She's Gotta Have It,Comedy,1.00,Anthony Ramos ,0.00,,0.00,,
Netflix,Easy,Comedy,0.00,,0.00,,0.00,,
Netflix,Orange is the New Black,Comedy,0.00,,0.00,,0.00,,
Netflix,Dear White People,Comedy,0.00,,0.00,,0.00,,
Netflix,GLOW,Comedy,0.00,,0.00,,0.00,,
Netflix,Patriot Act with Hasan Minhaj,Comedy,0.00,,0.00,,0.00,,
Netflix,Marvel’s Jessica Jones,Drama,0.00,,0.00,,0.00,,
Netflix,Designated Survivor,Drama,1.00,Adan Canto,0.00,,0.00,,
Netflix,Lucifer,Drama,1.00,Kevin Alejandro,0.00,,0.00,,
Netflix,Dark,Drama,0.00,,0.00,,0.00,,
Netflix,Mindhunter,Drama,0.00,,0.00,,0.00,,
Netflix,Stranger Things,Drama,0.00,,0.00,,0.00,,
Netflix,13 Reasons Why ,Drama,1.00,Christian Navarro,0.00,,0.00,,
Netflix,Black Mirror,Drama,0.00,,0.00,,0.00,,
Netflix,"The Confession Tapes, season 2",Docu-series,0.00,,0.00,,0.00,,
Netflix,"Dope, Season 3",Docu-series,0.00,,0.00,,0.00,,
Netflix,Beyond the Lights Season 3,Docu-series,0.00,,0.00,,0.00,,
Netflix,Last Chance U,Docu-series,0.00,,0.00,,0.00,,
Netflix,"Droppin' Cash, Season 2",Alternative,0.00,,0.00,,0.00,,
