Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,,,,,,
Travel Channel,Mountain Monsters,Docu-series,0,,0,,n/a,,,,,,,
Travel Channel,Mountain Monsters Season 4 ,Alternative,0,,0,,n/a,,,,,,,
Netflix,Mr. Iglesias,Comedy,1,Gabriel Iglesias,0,,1,,,,,,,
LIFETIME,MS. T's Music Factory,Alternative,0,,0,,n/a,,,,,,,
Investigation Discovery,Murder Chose Me,Drama,0,,0,,n/a,,,,,,,
Investigation Discovery,MURDER LOVES COMPANY,Drama,0,,0,,n/a,,,,,,,
HGTV,My House Is Your House,Alternative,0,,0,,n/a,,,,,,,
CW,My Last Days Season 3 ,Alternative,0,,0,,0,,,,,,,
Netflix,My Next Guest Needs No Introduction with David Letterman,Alternative,0,,0,,0,,,,,,,
CW,Mysteries Decoded,Docu-series,0,,0,,0,,,,,,,
Netflix,Nailed it! Season 3,Alternative,0,,0,,0,,,,,,,
VH1,Nick Cannon's Wild 'N Out,Comedy,0,,0,,0,,,,,,,
Netflix,No Good Nick,Comedy ,0,,0,,0,,,,,,,
AMC,NOS4A2,Drama,0,,0,,0,,,,,,,
Showtime,On Becoming a God in Central Florida ,Comedy,1, Mel Rodriguez,0,,0,,,,,,,
Netflix,Orange is the New Black,Comedy,0,,0,,1,Diego Velasco,,,,,,
HBO,OUR BOYS ,drama,0,,0,,0,,,,,,,
Showtime,Our Cartoon President Season 2 ,Comedy,0,,0,,0,,,,,,,
National Geographic,Out There with Jack Randall ,Docu-series,0,,0,,0,,,,,,,
TLC,Outdaughtered,Alternative,0,,0,,n/a,,,,,,,
CW,Pandora,Drama,1,Priscilla Quintana (7),0,,0,,,,,,,
FOX,Paradise Hotel,Alternative,0,,0,,0,,,,,,,
Travel Channel,Paranormal Emergency,Drama,0,,n/a,,n/a,,,,,,,
Travel Channel,Paranormal Survivor,Docu-series,0,,0,,1,Juan Diego Garcia,,,,,,
Netflix,Patriot Act with Hasan Minhaj,Comedy,0,,0,,0,,,,,,,
USA,Pearson,Drama,1,Gina Torres,0,,0,,,,,,,
CW,Penn & Teller: Fool Us,Alternative,0,,0,,0,,,,,,,
Investigation Discovery,People Magazine Investigates: Cults,Drama,0,,0,,n/a,,,,,,,
HGTV,Pool Hunters,Alternative,n/a,,n/a,,n/a,,,,,,,
FX,Pose,Drama,1,Mj Rodriguez (U.S.),1,,0,,,,,,,
Starz,Power,Drama,0,,0,,1,,,,,,,
STARZ,Power Confidential,Alternative,0,,0,,0,,,,,,,
AMC,Preacher,Drama,0,,0,,0,,,,,,,
ABC,Press Your Luck,Alternative,0,,0,,0,,,,,,,
HGTV,PROPERTY BROTHERS: FOREVER HOME,Alternative,0,,0,,n/a,,,,,,,
A&E,Psychic Kids Season 4 ,Alternative,0,,0,,0,,,,,,,
USA,Queen of the South,Drama,1,Alice Braga,1,,1,,,,,,,
OWN,Queen Sugar,Drama,0,,0,,1,,,,,,,
Netflix,Queer Eye,Alternative,0,,0,,0,,,,,,,
DISCOVERY CHANNEL,Raising Wild,Alternative,0,,0,,n/a,,,,,,,
ABC,Reef Break,Drama,0,,0,,0,,,,,,,
E!,Relatively Nat & Live,Alternative,0,,0,,0,,,,,,,
Food Network,Restaurant: Impossible Season 15,Alternative ,0,,0,,n/a,,,,,,,
E!,Revenge Body with Khloé Kardashian Season 3 ,Alternative,0,,0,,0,,,,,,,
Travel Channel,Ripley’s Believe It or Not!,Docu-series,0,,0,,n/a,,,,,,,5 n/a showrunners
Discovery,Savage Builds,Alternative,0,,0,,n/a,,,,,,,
TLC,Say Yes to The Dress,Alternative,0,,0,,n/a,,,,,,,
